graph	round_delay_ms	compute_s	reductions	rejected_per_edge
uniform	0	0.255676	379	0.935263
uniform	0.25	0.250450	244	0.934913
uniform	0.5	0.289433	228	0.934945
uniform	1	0.346739	201	0.934933
uniform	2	0.471818	189	0.934893
uniform	4	0.719896	164	0.934923
mesh	0	2.684757	17960	1.096405
mesh	0.25	7.174651	17644	1.124730
mesh	0.5	11.568329	17735	1.132776
mesh	1	20.424114	17754	1.148289
mesh	2	38.409138	17842	1.134658
mesh	4	74.265642	17856	1.135427
rmat	0	0.225218	327	1.178695
rmat	0.25	0.237574	186	1.162464
rmat	0.5	0.263108	189	1.146345
rmat	1	0.334042	163	1.106371
rmat	2	0.502497	172	1.174642
rmat	4	0.796282	163	1.156133
