graph	flush_interval	compute_s	reductions	rejected_per_edge	tram_messages
uniform	1	0.241323	418	0.937007	10656
uniform	2	0.259143	322	0.935148	10082
uniform	5	0.235372	421	0.935223	8823
uniform	10	0.249419	420	0.935067	8810
uniform	20	0.298406	624	0.935230	8474
mesh	1	0.803784	3755	1.046822	29295
mesh	2	1.313556	7330	1.055613	28555
mesh	5	2.606668	17960	1.089023	28185
mesh	10	5.074085	36340	1.105906	28029
mesh	20	9.549073	71520	1.137575	28046
rmat	1	0.212892	239	1.164062	13102
rmat	2	0.220341	255	1.193271	11978
rmat	5	0.204870	277	1.198572	11186
rmat	10	0.230160	375	1.051623	9420
rmat	20	0.254882	545	1.154182	10155
