bucket,created
0,13
1,46
2,72
3,116
4,189
5,265
6,396
7,496
8,665
9,956
10,1165
11,1377
12,1633
13,1884
14,2097
15,2330
16,2677
17,2893
18,3233
19,3900
20,4794
21,5313
22,5686
23,6170
24,6268
25,5850
26,6058
27,6450
28,7983
29,8761
30,9725
31,10808
32,10651
33,10546
34,10973
35,10915
36,10405
37,11081
38,11625
39,11668
40,12475
41,12490
42,12060
43,11799
44,10698
45,10566
46,10406
47,10693
48,10344
49,10829
50,11215
51,10646
52,11282
53,11301
54,11771
55,11334
56,12784
57,14006
58,14390
59,14851
60,14804
61,14430
62,13741
63,13873
64,12585
65,12112
66,12205
67,11903
68,11692
69,12162
70,13350
71,14562
72,14022
73,12855
74,12594
75,12885
76,13447
77,14060
78,13164
79,10660
80,10234
81,10875
82,11189
83,12035
84,12951
85,12856
86,12037
87,12101
88,12162
89,12385
90,12938
91,13323
92,14035
93,13982
94,12971
95,11106
96,10421
97,11030
98,12265
99,12464
100,12330
101,11902
102,11344
103,11225
104,11614
105,11758
106,11689
107,12507
108,12792
109,13520
110,13326
111,12564
112,12942
113,12870
114,11982
115,12519
116,13474
117,13016
118,11181
119,10358
120,11533
121,13154
122,12737
123,11480
124,11891
125,12159
126,10814
127,10020
128,10915
129,12409
130,12938
131,11997
132,10978
133,10025
134,9849
135,10697
136,11505
137,12024
138,12244
139,11704
140,10382
141,10229
142,10714
143,11379
144,11606
145,11001
146,10648
147,11920
148,12751
149,11481
150,11331
151,11078
152,11053
153,11059
154,11026
155,10900
156,11042
157,11729
158,12439
159,12111
160,11674
161,11836
162,11939
163,11976
164,12129
165,12510
166,12472
167,12534
168,12643
169,12923
170,12894
171,13073
172,13055
173,12708
174,12622
175,13118
176,13164
177,13155
178,13519
179,13312
180,13751
181,13468
182,13216
183,13594
184,13806
185,13930
186,13537
187,13869
188,13834
189,13557
190,14213
191,14759
192,14610
193,14048
194,14341
195,14640
196,14431
197,14528
198,14768
199,14918
200,15016
201,14935
202,15144
203,15111
204,15154
205,15263
206,15431
207,15783
208,15599
209,15718
210,16180
211,16321
212,16167
213,15841
214,16096
215,16199
216,16417
217,16459
218,16283
219,15973
220,16010
221,16098
222,16653
223,16584
224,16714
225,17062
226,16927
227,17304
228,16969
229,17147
230,17259
231,17514
232,17157
233,17403
234,17525
235,17222
236,17631
237,17333
238,17379
239,17554
240,17764
241,17513
242,17541
243,17886
244,18085
245,17815
246,18420
247,18785
248,18495
249,18702
250,18643
251,18678
252,18687
253,18571
254,18634
255,18810
256,19163
257,19469
258,19664
259,19793
260,20044
261,20318
262,19769
263,19861
264,19996
265,20158
266,20247
267,20089
268,19558
269,19657
270,20496
271,20272
272,20361
273,20385
274,20326
275,20900
276,20826
277,21188
278,20691
279,20648
280,20761
281,20699
282,20218
283,21195
284,21437
285,21759
286,21839
287,22506
288,22285
289,21998
290,21128
291,21361
292,22035
293,22355
294,22320
295,21869
296,22443
297,22456
298,22575
299,22549
300,22437
301,22480
302,23044
303,22857
304,22562
305,23288
306,23140
307,23484
308,23661
309,23739
310,23662
311,23189
312,23744
313,24418
314,23645
315,22699
316,22130
317,21819
318,21210
319,20795
320,20491
321,20108
322,19784
323,19194
324,18914
325,18908
326,18649
327,18243
328,17610
329,17510
330,17380
331,16865
332,16720
333,16583
334,16143
335,15595
336,15289
337,15138
338,14771
339,14891
340,14637
341,14068
342,13876
343,13801
344,13486
345,13764
346,13024
347,12943
348,12803
349,12918
350,12947
351,12996
352,12676
353,12591
354,12429
355,11975
356,11767
357,12475
358,12270
359,11884
360,11801
361,11429
362,10868
363,10704
364,10829
365,11295
366,11159
367,11047
368,10265
369,10467
370,10565
371,10207
372,10344
373,11052
374,11613
375,11379
376,11094
377,11871
378,12254
379,12304
380,11678
381,11070
382,10464
383,10740
384,10584
385,10524
386,11289
387,11432
388,11139
389,10887
390,11268
391,10984
392,10927
393,10858
394,10601
395,11100
396,12046
397,11227
398,10778
399,10315
400,10775
401,10328
402,10275
403,10274
404,10746
405,10560
406,10794
407,10797
408,10815
409,10568
410,11005
411,12008
412,11460
413,10650
414,9929
415,9554
416,9461
417,9333
418,9494
419,9709
420,9147
421,9266
422,9364
423,9113
424,8870
425,9146
426,9979
427,10256
428,10797
429,11138
430,11367
431,11509
432,10702
433,9664
434,9239
435,9394
436,8965
437,8593
438,8644
439,8751
440,8357
441,8600
442,8794
443,9585
444,9015
445,8004
446,7539
447,7452
448,6506
449,5938
450,6312
451,6133
452,5795
453,5851
454,5883
455,5559
456,4971
457,4447
458,3933
459,3447
460,2762
461,2200
462,1492
463,870
464,519
465,357
466,338
467,276
468,209
469,186
470,125
471,98
472,84
473,65
474,41
475,19
476,7
477,1
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
