class,min_degree,vertices,out_edges,arrivals,rejects
0,0,0,0,0,0
1,1,0,0,0,0
2,2,4092,12272,32189,19703
3,4,1044484,4177936,6065307,4166328
4,8,0,0,0,0
5,16,0,0,0,0
6,32,0,0,0,0
7,64,0,0,0,0
8,128,0,0,0,0
9,256,0,0,0,0
10,512,0,0,0,0
11,1024,0,0,0,0
12,2048,0,0,0,0
13,4096,0,0,0,0
14,8192,0,0,0,0
15,16384,0,0,0,0
16,32768,0,0,0,0
17,65536,0,0,0,0
18,131072,0,0,0,0
19,262144,0,0,0,0
20,524288,0,0,0,0
21,1048576,0,0,0,0
22,2097152,0,0,0,0
23,4194304,0,0,0,0
24,8388608,0,0,0,0
25,16777216,0,0,0,0
26,33554432,0,0,0,0
27,67108864,0,0,0,0
28,134217728,0,0,0,0
29,268435456,0,0,0,0
30,536870912,0,0,0,0
31,1073741824,0,0,0,0
