round,t,histogram_sum,window_first,first_nonzero,occupied,span,heap_threshold,tram_threshold,two_tier,updates_created,updates_processed,updates_noted,distance_changes,done_vertices
0,0.000319719,0,0,0,0,0,2047,2047,1,3,1,1,1,1
1,0.000561953,2,0,0,1,1,0,0,1,3,1,1,1,0
2,0.000730515,8,0,0,2,2,1,1,1,12,4,4,4,0
3,0.000890732,8,0,0,2,2,1,1,1,12,4,4,4,0
4,0.00103807,8,0,0,2,2,1,1,1,12,4,4,4,0
5,0.00120544,8,0,0,2,2,1,1,1,12,4,4,4,0
6,0.00136209,8,0,0,2,2,1,1,1,12,4,4,4,0
7,0.00152707,8,0,0,2,2,1,1,1,12,4,4,4,0
8,0.00169039,8,0,0,2,2,1,1,1,12,4,4,4,0
9,0.00185776,8,0,0,2,2,1,1,1,12,4,4,4,0
10,0.00201726,8,0,0,2,2,1,1,1,12,4,4,4,0
11,0.00218964,8,0,0,2,2,1,1,1,12,4,4,4,0
12,0.00234175,8,0,0,2,2,1,1,1,12,4,4,4,0
13,0.0025003,8,0,0,2,2,1,1,1,12,4,4,4,0
14,0.0026741,8,0,0,2,2,1,1,1,12,4,4,4,0
15,0.00282764,13,0,0,3,3,2,2,1,26,13,13,9,0
16,0.00306821,13,0,0,3,3,2,2,1,26,13,13,9,0
17,0.00324774,17,0,1,3,3,3,3,1,44,27,27,15,0
18,0.00341654,17,1,1,3,3,3,3,1,44,27,27,15,8
19,0.00357366,17,1,1,3,3,3,3,1,44,27,27,15,8
20,0.0037384,17,1,1,3,3,3,3,1,44,27,27,15,8
21,0.00389719,17,1,1,3,3,3,3,1,44,27,27,15,8
22,0.00404382,17,1,1,3,3,3,3,1,44,27,27,15,8
23,0.00421739,17,1,1,3,3,3,3,1,44,27,27,15,8
24,0.00439262,17,1,1,3,3,3,3,1,44,27,27,15,8
25,0.0045507,22,1,1,3,3,3,3,1,66,45,45,21,9
26,0.00471258,22,1,1,3,3,3,3,1,66,45,45,21,9
27,0.00487494,22,1,1,3,3,3,3,1,66,45,45,21,9
28,0.00502944,22,1,1,3,3,3,3,1,66,45,45,21,9
29,0.00519466,22,1,1,3,3,3,3,1,66,45,45,21,9
30,0.00535131,22,1,1,3,3,3,3,1,66,45,45,21,9
31,0.00551176,22,1,1,3,3,3,3,1,66,45,45,21,9
32,0.0056653,22,1,1,3,3,3,3,1,66,45,45,21,9
33,0.00584197,22,1,1,3,3,3,3,1,66,45,45,21,9
34,0.00600171,29,1,1,4,4,4,4,1,95,67,67,31,9
35,0.00617599,29,1,1,4,4,4,4,1,95,67,67,31,9
36,0.0134909,29,1,1,4,4,4,4,1,95,67,67,31,9
37,0.0136685,29,1,1,4,4,4,4,1,95,67,67,31,9
38,0.0138323,29,1,1,4,4,4,4,1,95,67,67,31,9
39,0.0140228,29,1,1,4,4,4,4,1,95,67,67,31,9
40,0.0142002,10,1,1,3,3,3,3,1,95,86,96,41,9
41,0.0143723,33,1,2,3,3,4,4,1,128,96,96,41,9
42,0.0145411,35,2,2,3,3,4,4,1,162,128,129,56,25
43,0.0147095,17,2,2,4,4,5,5,1,165,149,163,70,25
44,0.0148921,41,2,2,4,4,5,5,1,203,163,163,70,25
45,0.015053,43,2,3,3,3,5,5,1,245,203,204,86,25
46,0.0152218,45,3,3,4,4,6,6,1,248,204,204,86,48
47,0.0153732,45,3,3,4,4,6,6,1,248,204,204,86,48
48,0.015528,45,3,3,4,4,6,6,1,248,204,204,86,48
49,0.0156875,45,3,3,4,4,6,6,1,248,204,204,86,48
50,0.015842,45,3,3,4,4,6,6,1,248,204,204,86,48
51,0.0159979,45,3,3,4,4,6,6,1,248,204,204,86,48
52,0.0161648,45,3,3,4,4,6,6,1,248,204,204,86,48
53,0.0163174,45,3,3,4,4,6,6,1,248,204,204,86,48
54,0.0164771,45,3,3,4,4,6,6,1,248,204,204,86,48
55,0.0166612,45,3,3,4,4,6,6,1,248,204,204,86,48
56,0.016824,52,3,3,4,4,6,6,1,300,249,249,103,48
57,0.016988,15,3,3,3,4,6,6,1,300,286,301,118,48
58,0.0171547,53,3,3,4,4,6,6,1,353,301,301,118,48
59,0.0173349,53,3,3,4,4,6,6,1,353,301,301,118,48
60,0.0174978,16,3,3,3,4,6,6,1,353,338,354,134,48
61,0.0176625,57,3,3,5,5,7,7,1,410,354,354,134,48
62,0.0178528,57,3,3,5,5,7,7,1,410,354,354,134,48
63,0.0180116,65,3,4,5,5,8,8,1,475,411,411,152,48
64,0.0181859,65,4,4,5,5,8,8,1,475,411,411,152,85
65,0.0183647,65,4,4,5,5,8,8,1,475,411,411,152,85
66,0.0185301,65,4,4,5,5,8,8,1,475,411,411,152,85
67,0.0186787,65,4,4,5,5,8,8,1,475,411,411,152,85
68,0.0188344,65,4,4,5,5,8,8,1,475,411,411,152,85
69,0.0189939,65,4,4,5,5,8,8,1,475,411,411,152,85
70,0.0191708,65,4,4,5,5,8,8,1,475,411,411,152,85
71,0.0193291,65,4,4,5,5,8,8,1,475,411,411,152,85
72,0.0194926,65,4,4,5,5,8,8,1,475,411,411,152,85
73,0.0196548,65,4,4,5,5,8,8,1,475,411,411,152,85
74,0.0198183,65,4,4,5,5,8,8,1,475,411,411,152,85
75,0.0200098,65,4,4,5,5,8,8,1,475,411,411,152,85
76,0.0201869,20,4,4,4,4,7,7,1,475,456,476,172,85
77,0.0203435,65,4,4,4,5,8,8,1,540,476,476,172,85
78,0.0205152,65,4,4,4,5,8,8,1,540,476,476,172,85
79,0.0206983,65,4,4,4,5,8,8,1,540,476,476,172,85
80,0.0208502,73,4,4,5,5,8,8,1,613,541,541,197,85
81,0.0210576,73,4,4,5,5,8,8,1,613,541,541,197,85
82,0.0212328,73,4,4,5,5,8,8,1,613,541,541,197,85
83,0.0213962,73,4,4,5,5,8,8,1,613,541,541,197,85
84,0.0215607,73,4,4,5,5,8,8,1,613,541,541,197,85
85,0.021718,73,4,4,5,5,8,8,1,613,541,541,197,85
86,0.0218811,73,4,4,5,5,8,8,1,613,541,541,197,85
87,0.0220366,73,4,4,5,5,8,8,1,613,541,541,197,85
88,0.0222044,73,4,4,5,5,8,8,1,613,541,541,197,85
89,0.0223675,73,4,4,5,5,8,8,1,613,541,541,197,85
90,0.0225277,73,4,4,5,5,8,8,1,613,541,541,197,85
91,0.0227122,73,4,4,5,5,8,8,1,613,541,541,197,85
92,0.0228782,77,4,4,6,6,9,9,1,690,614,614,221,85
93,0.0230291,77,4,4,6,6,9,9,1,690,614,614,221,85
94,0.0232027,77,4,4,6,6,9,9,1,690,614,614,221,85
95,0.0233598,77,4,4,6,6,9,9,1,690,614,614,221,85
96,0.0235255,77,4,4,6,6,9,9,1,690,614,614,221,85
97,0.0236819,77,4,4,6,6,9,9,1,690,614,614,221,85
98,0.0238426,77,4,4,6,6,9,9,1,690,614,614,221,85
99,0.024003,77,4,4,6,6,9,9,1,690,614,614,221,85
100,0.0241647,77,4,4,6,6,9,9,1,690,614,614,221,85
101,0.0243289,77,4,4,6,6,9,9,1,690,614,614,221,85
102,0.0244908,77,4,4,6,6,9,9,1,690,614,614,221,85
103,0.0246582,77,4,4,6,6,9,9,1,690,614,614,221,85
104,0.024859,77,4,4,6,6,9,9,1,690,614,614,221,85
105,0.0250149,85,4,4,6,6,9,9,1,775,691,691,247,85
106,0.0252059,85,4,4,6,6,9,9,1,775,691,691,247,85
107,0.0253732,28,4,4,5,5,8,8,1,775,748,776,275,85
