graph	heap_percentile	compute_s	rejected_per_edge	threshold_changes	reductions
uniform	0.001	0.283301	0.935208	141	538
uniform	0.005	0.248192	0.935268	131	351
uniform	0.05	0.186378	0.938852	104	171
uniform	0.5	0.234604	0.978354	63	89
uniform	0.999	0.227426	0.971574	54	89
mesh	0.001	3.030068	1.132700	1591	20635
mesh	0.005	2.654631	1.086705	1532	18241
mesh	0.05	2.223816	1.056481	1271	14337
mesh	0.5	1.795874	1.742910	718	11288
mesh	0.999	1.004991	5.943991	770	3386
rmat	0.001	0.208884	1.133036	89	338
rmat	0.005	0.204309	1.161011	89	277
rmat	0.05	0.193592	1.127277	92	164
rmat	0.5	0.187021	1.198007	54	89
rmat	0.999	0.178823	1.128542	43	55
