class,min_arrivals,vertices,arrivals
0,0,502190,0
1,1,122240,122240
2,2,118033,282320
3,4,97934,515734
4,8,70068,721852
5,16,65872,1574513
6,32,13650,524012
7,64,36889,2996457
8,128,8717,2091591
9,256,6787,1830643
10,512,4845,3866295
11,1024,0,0
12,2048,1140,2866865
13,4096,188,1491541
14,8192,2,16461
15,16384,20,501332
16,32768,0,0
17,65536,1,78410
18,131072,0,0
19,262144,0,0
20,524288,0,0
21,1048576,0,0
22,2097152,0,0
23,4194304,0,0
24,8388608,0,0
25,16777216,0,0
26,33554432,0,0
27,67108864,0,0
28,134217728,0,0
29,268435456,0,0
30,536870912,0,0
31,1073741824,0,0
