class,min_degree,vertices,out_edges,arrivals,rejects
0,0,501926,0,173929,34173
1,1,145278,145278,174282,53027
2,2,118633,282476,305038,129418
3,4,96617,513171,615052,372815
4,8,54619,546100,555734,388289
5,16,69309,1537782,1760817,1472760
6,32,12041,662554,869488,807973
7,64,28453,2059019,2282788,2131668
8,128,15406,3352887,3897381,3798855
9,256,98,25440,24853,24226
10,512,4845,3342910,3866295,3830339
11,1024,1,2037,2553,2546
12,2048,1139,2487692,2864312,2854988
13,4096,190,1312349,1508002,1506271
14,8192,0,0,0,0
15,16384,20,437153,501332,501120
16,32768,0,0,0,0
17,65536,1,69197,78410,78400
18,131072,0,0,0,0
19,262144,0,0,0,0
20,524288,0,0,0,0
21,1048576,0,0,0,0
22,2097152,0,0,0,0
23,4194304,0,0,0,0
24,8388608,0,0,0,0
25,16777216,0,0,0,0
26,33554432,0,0,0,0
27,67108864,0,0,0,0
28,134217728,0,0,0,0
29,268435456,0,0,0,0
30,536870912,0,0,0,0
31,1073741824,0,0,0,0
