round,t,histogram_sum,window_first,first_nonzero,occupied,span,heap_threshold,tram_threshold,two_tier,updates_created,updates_processed,updates_noted,distance_changes,done_vertices
0,0.000320435,69,0,0,44,71,70,70,1,70,1,1,1,1
1,0.00120568,69,0,1,44,71,71,71,1,70,1,1,1,0
2,0.0457029,454947,1,2,137,137,3,132,0,1506328,1051381,1387168,350614,2
3,0.101133,1413966,2,2,137,137,3,125,0,7878427,6464462,7409087,1021370,5
4,0.124984,1215779,2,3,136,136,3,75,0,12302560,11086782,12224065,1279461,5
5,0.135214,1276498,3,3,136,136,3,75,0,14057317,12780820,13951861,1350648,5136
6,0.142942,1253984,3,3,136,136,4,76,0,14421580,13167597,14344917,1365657,5136
7,0.157388,1196006,3,3,136,136,4,75,0,14499038,13303033,14483437,1370833,5136
8,0.166501,1199589,3,3,136,136,4,76,0,15885849,14686261,15856182,1416096,5136
9,0.170953,1195107,3,4,135,135,5,76,0,16313370,15118264,16276602,1428507,5136
10,0.177962,1175482,4,4,135,135,5,76,0,16354042,15178561,16336653,1430263,57134
11,0.183791,1150368,4,5,134,134,6,77,0,17161169,16010802,17125560,1451371,57134
12,0.187885,1137942,5,5,134,134,6,77,0,17184329,16046388,17159793,1452268,100035
13,0.191424,1109608,5,6,131,132,6,78,0,17582954,16473347,17551267,1461780,100035
14,0.192015,1090801,6,6,130,132,7,78,0,17669672,16578872,17647345,1464046,132961
15,0.192458,1079696,6,7,129,131,7,78,0,17669672,16589977,17658613,1464277,132961
16,0.193376,1079337,7,7,128,131,7,77,0,17732270,16652934,17713958,1465422,160212
17,0.194994,1072086,7,7,126,126,7,79,0,17836589,16764504,17811904,1467613,160212
18,0.195978,1060504,7,7,126,126,8,79,0,17941936,16881433,17913605,1469815,160212
19,0.197479,1046872,7,7,126,126,8,79,0,17961631,16914760,17944154,1470466,160212
20,0.199505,1018184,7,8,125,125,8,80,0,18159989,17141806,18135950,1474430,160212
21,0.200461,1011116,8,8,125,125,9,80,0,18184929,17173814,18163164,1474970,181479
22,0.200638,1001296,8,8,125,125,9,80,0,18186350,17185055,18174232,1475170,181479
23,0.201267,1003742,8,9,124,124,9,80,0,18218329,17214588,18196862,1475608,181479
24,0.202591,992366,9,9,124,124,9,80,0,18277649,17285284,18254756,1476714,201335
25,0.203279,974785,9,9,124,124,10,81,0,18349608,17374824,18327304,1478089,201335
26,0.204517,967718,9,9,124,124,10,81,0,18353696,17385979,18337560,1478297,201335
27,0.205508,948414,9,10,123,123,10,82,0,18456260,17507847,18432163,1480012,201335
28,0.20625,937705,10,10,123,123,11,82,0,18485554,17547850,18463894,1480557,218991
29,0.206471,930169,10,10,123,123,11,82,0,18486846,17556678,18472478,1480708,218991
30,0.20695,926954,10,11,122,122,11,82,0,18520265,17593312,18499033,1481143,218991
31,0.207626,914424,11,11,122,122,11,82,0,18559308,17644885,18538588,1481814,234710
32,0.208203,905230,11,11,122,122,12,83,0,18591737,17686508,18569235,1482333,234710
33,0.215975,896634,11,11,122,122,12,83,0,18593818,17697185,18579300,1482489,234710
34,0.216841,868359,11,12,121,121,13,84,0,18676180,17807822,18660191,1483797,234710
35,0.217448,867684,12,12,121,121,13,84,0,18677638,17809955,18661846,1483831,249012
36,0.218172,852596,12,12,121,121,13,84,0,18727914,17875319,18707236,1484537,249012
37,0.218828,834353,12,12,121,121,14,85,0,18751504,17917152,18739233,1485015,249012
38,0.219538,830033,12,13,120,120,14,84,0,18753990,17923958,18745104,1485105,249012
39,0.220361,819355,13,13,120,120,15,85,0,18806727,17987373,18784467,1485717,262128
40,0.221295,813950,13,14,119,119,15,85,0,18815033,18001084,18794535,1485869,262128
41,0.222056,785970,14,15,118,118,16,86,0,18868714,18082745,18849367,1486689,274326
42,0.222299,780163,15,15,118,118,16,86,0,18870668,18090506,18856167,1486783,284941
43,0.222652,767838,15,16,117,117,16,87,0,18891587,18123750,18877603,1487069,284941
44,0.223074,766095,16,16,117,117,17,87,0,18911579,18145485,18888195,1487202,295705
45,0.223521,754040,16,16,117,117,17,87,0,18916585,18162546,18902068,1487412,295705
46,0.224179,740516,16,16,117,117,17,88,0,18949875,18209360,18928636,1487798,295705
47,0.224613,727163,16,17,116,116,18,88,0,18958422,18231260,18945488,1488032,295705
48,0.224802,722163,17,17,116,116,18,88,0,18958500,18236338,18950570,1488102,305504
49,0.22521,723436,17,17,116,116,18,89,0,18979027,18255592,18956166,1488171,305504
50,0.225691,705118,17,18,115,115,19,89,0,18993915,18288798,18979476,1488464,305504
51,0.226077,698183,18,18,115,115,19,89,0,18994891,18296709,18986741,1488556,314722
52,0.226636,693776,18,19,114,114,20,90,0,19023380,18329605,18999103,1488708,314722
53,0.226903,681409,19,19,114,114,20,90,0,19027406,18345998,19012636,1488902,323432
54,0.227242,672486,19,19,114,114,20,91,0,19046433,18373948,19026320,1489088,323432
55,0.227647,665452,19,19,114,114,21,91,0,19056727,18391276,19035706,1489215,323432
56,0.227952,661077,19,19,114,114,21,91,0,19056959,18395883,19040161,1489273,323432
57,0.228271,646717,19,20,113,113,21,92,0,19077639,18430923,19059690,1489500,323432
58,0.228621,640662,20,20,113,113,22,92,0,19081977,18441316,19066167,1489570,331768
59,0.228941,640719,20,20,113,113,22,92,0,19082678,18441960,19066222,1489571,331768
