graph	multiplier	width	compute_s	rejected_per_edge	threshold_changes	reductions
uniform	0.0625	0.8664339756999316	0.461069	0.936142	970	1766
uniform	0.125	1.7328679513998633	0.386714	0.935613	630	1202
uniform	0.25	3.4657359027997265	0.306467	0.935149	390	741
uniform	0.5	6.931471805599453	0.272783	0.935140	246	548
uniform	1	13.862943611198906	0.241362	0.935264	123	348
uniform	2	27.725887222397812	0.239576	0.935486	66	263
uniform	4	55.451774444795625	0.231562	0.936605	44	212
uniform	8	110.90354888959125	0.237557	0.937796	23	164
uniform	16	221.8070977791825	0.231097	0.941877	16	142
mesh	0.0625	64.0	1.547800	5.439033	1672	8521
mesh	0.125	128.0	3.038519	3.591284	2354	20341
mesh	0.25	256.0	3.735260	1.130258	2818	26651
mesh	0.5	512.0	3.127378	1.114004	2099	21584
mesh	1	1024.0	2.635742	1.081372	1549	17969
mesh	2	2048.0	2.353703	1.149016	1061	15906
mesh	4	4096.0	2.144746	1.386441	492	14137
mesh	8	8192.0	2.000897	1.936425	220	12927
mesh	16	16384.0	1.943697	2.972173	155	11971
rmat	0.0625	0.8664339756999316	0.446414	1.145492	728	1267
rmat	0.125	1.7328679513998633	0.373704	1.180512	510	984
rmat	0.25	3.4657359027997265	0.277211	1.160937	315	668
rmat	0.5	6.931471805599453	0.232995	1.152755	166	368
rmat	1	13.862943611198906	0.209542	1.130200	88	277
rmat	2	27.725887222397812	0.202534	1.159947	53	219
rmat	4	55.451774444795625	0.192032	1.134485	29	164
rmat	8	110.90354888959125	0.202245	1.166849	19	132
rmat	16	221.8070977791825	0.201642	1.181521	13	123
