class,min_degree,vertices,out_edges,arrivals,rejects
0,0,31538,0,504995,428528
1,1,32093,32093,513965,436607
2,2,64081,159969,1024401,869706
3,4,127028,698857,2032321,1725696
4,8,254182,2924494,4065474,3451530
5,16,507970,11934834,8122934,6896403
6,32,31684,1013888,506484,429919
7,64,0,0,0,0
8,128,0,0,0,0
9,256,0,0,0,0
10,512,0,0,0,0
11,1024,0,0,0,0
12,2048,0,0,0,0
13,4096,0,0,0,0
14,8192,0,0,0,0
15,16384,0,0,0,0
16,32768,0,0,0,0
17,65536,0,0,0,0
18,131072,0,0,0,0
19,262144,0,0,0,0
20,524288,0,0,0,0
21,1048576,0,0,0,0
22,2097152,0,0,0,0
23,4194304,0,0,0,0
24,8388608,0,0,0,0
25,16777216,0,0,0,0
26,33554432,0,0,0,0
27,67108864,0,0,0,0
28,134217728,0,0,0,0
29,268435456,0,0,0,0
30,536870912,0,0,0,0
31,1073741824,0,0,0,0
