round,t,histogram_sum,window_first,first_nonzero,occupied,span,heap_threshold,tram_threshold,two_tier,updates_created,updates_processed,updates_noted,distance_changes,done_vertices
0,0.000344753,22,0,0,19,71,70,70,1,22,1,1,1,1
1,0.000601768,21,0,1,19,71,71,71,1,22,1,4,4,0
2,0.000777006,314,1,1,113,136,136,136,1,335,22,23,23,1
3,0.000994444,1212,1,1,134,143,143,143,1,1289,78,99,99,1
4,0.00127292,2197,1,6,152,170,15,175,0,2334,138,142,142,1
5,0.00151324,7873,6,6,200,204,21,204,0,8380,508,512,512,4
6,0.00172257,7856,6,6,199,204,21,204,0,8419,564,2011,2009,4
7,0.00191522,8045,6,6,199,204,22,204,0,8664,620,3241,3239,4
8,0.00211477,8182,6,6,198,204,22,204,0,8885,704,5256,5252,4
9,0.00229764,8405,6,8,197,202,22,204,0,9156,752,6294,6284,4
10,0.00248218,8443,8,8,197,202,22,204,0,9216,774,6704,6694,12
11,0.00265789,8522,8,8,197,202,22,204,0,9305,784,6840,6830,12
12,0.00285697,8656,8,8,196,202,22,204,0,9453,798,7012,7002,12
13,0.00302291,8763,8,8,196,202,22,204,0,9597,835,7538,7522,12
14,0.00325274,8916,8,12,195,198,22,204,0,9784,869,8124,8103,12
15,0.00341225,9270,12,12,194,198,23,203,0,10202,933,9353,9325,22
16,0.00358891,9269,12,12,194,198,23,203,0,10202,934,9415,9387,22
17,0.00376749,9955,12,12,193,198,23,203,0,10943,989,9711,9683,22
18,0.00393343,10299,12,14,193,196,23,203,0,11312,1014,9949,9921,22
19,0.00410414,10531,14,14,193,196,24,203,0,11566,1036,10256,10228,31
20,0.00426149,10651,14,14,193,196,24,203,0,11701,1051,10537,10509,31
21,0.00444436,11376,14,14,191,196,25,202,0,12483,1108,10830,10800,31
22,0.00461936,11488,14,14,191,196,25,202,0,12601,1114,11032,11002,31
23,0.0048337,12099,14,14,191,196,25,202,0,13255,1157,11051,11021,31
24,0.0050633,12335,14,14,191,196,26,202,0,13541,1207,11772,11742,31
25,0.00523901,12623,14,19,188,191,26,202,0,13859,1237,12226,12192,31
26,0.00545192,13646,19,21,187,189,27,202,0,14958,1313,12585,12551,101
27,0.00564456,13853,21,22,186,188,27,202,0,15214,1362,13137,13099,157
28,0.00584412,15444,22,22,186,188,28,202,0,16932,1489,13928,13886,193
29,0.00601339,15759,22,22,186,188,28,202,0,17303,1545,14657,14607,193
30,0.00622034,17063,22,22,186,188,28,202,0,18699,1637,14679,14628,193
31,0.00639987,17171,22,22,186,188,28,202,0,18830,1660,15106,15053,193
32,0.00658345,17289,22,22,186,188,29,202,0,18986,1698,15693,15640,193
33,0.00676608,17549,22,22,186,188,29,202,0,19295,1747,16716,16659,193
34,0.00695705,19446,22,22,186,188,29,201,0,21341,1896,17426,17364,193
35,0.00863457,19863,22,23,185,187,29,201,0,21799,1937,18087,18022,193
36,0.00882792,20453,23,24,184,186,30,201,0,22480,2028,19231,19161,251
37,0.00899291,20596,24,24,184,186,30,201,0,22656,2061,19790,19718,315
38,0.00917482,23720,24,24,184,186,30,200,0,26021,2302,20488,20409,315
39,0.00934744,24192,24,24,184,186,31,200,0,26555,2364,21276,21191,315
40,0.00951219,24447,24,24,184,186,31,200,0,26864,2418,22254,22156,315
41,0.00971985,27434,24,24,184,186,31,199,0,30072,2639,22859,22755,315
42,0.0099051,28518,24,25,183,185,32,199,0,31319,2802,25344,25225,315
43,0.0100677,28649,25,25,183,185,32,199,0,31476,2828,25901,25778,387
44,0.010232,33425,25,25,183,185,32,197,0,36616,3192,27162,27028,387
45,0.0104058,33908,25,25,183,185,32,197,0,37193,3286,28516,28350,387
46,0.010581,34242,25,25,183,185,33,196,0,37656,3415,30574,30379,387
47,0.0107784,34643,25,25,183,185,33,196,0,38143,3501,31991,31780,387
48,0.0109415,41093,25,25,182,185,33,196,0,45159,4067,34610,34353,387
49,0.0111053,41568,25,25,182,185,34,196,0,45756,4189,36417,36129,387
50,0.0113542,41568,25,25,182,185,34,196,0,45756,4189,36417,36129,387
51,0.0115287,49009,25,25,182,185,34,194,0,53855,4847,39727,39384,387
52,0.01179,49316,25,25,182,185,34,194,0,54256,4941,41179,40809,387
53,0.0119677,51002,25,25,183,185,35,194,0,56339,5338,46212,45740,387
54,0.0121777,51852,25,25,182,185,35,194,0,57379,5528,49181,48657,387
55,0.0123756,62137,25,30,178,180,36,192,0,68649,6513,54229,53583,387
56,0.0126071,62400,30,30,178,180,36,192,0,68985,6586,54920,54252,1106
57,0.0128462,75449,30,31,177,179,37,191,0,83513,8065,65221,64275,1106
58,0.013164,77105,31,31,177,179,37,190,0,85694,8590,71553,70395,1401
59,0.0133574,94788,31,32,176,178,38,188,0,105724,10937,87943,86133,1401
60,0.0137959,94918,32,32,176,178,38,188,0,105892,10975,88384,86557,1745
61,0.0140476,117206,32,33,175,177,39,185,0,132087,14882,117284,114008,1745
62,0.0145304,118018,33,33,175,177,39,185,0,133426,15409,122385,118805,2189
63,0.0147209,145989,33,35,172,175,40,182,0,166058,20070,150408,144940,2189
64,0.0150533,146141,35,35,172,175,40,182,0,166772,20632,155499,149635,3379
65,0.0154276,177658,35,37,171,173,41,178,0,203432,25775,182114,174056,3379
66,0.0160031,179216,37,38,170,172,41,178,0,206240,27025,191195,182311,5234
67,0.0164523,216507,38,41,167,169,42,175,0,252829,36323,238928,224994,6492
68,0.0170002,216024,41,41,167,169,42,175,0,253054,37031,243758,229236,12574
69,0.017426,263305,41,41,167,169,43,172,0,310143,46839,284862,265138,12574
70,0.018167,263118,41,42,166,168,43,172,0,312081,48964,296995,275558,12574
71,0.018693,316429,42,43,165,167,44,168,0,381888,65460,364508,332526,15539
72,0.0192583,315859,43,43,165,167,44,169,0,381944,66086,367700,335160,19255
73,0.0203452,380501,43,44,164,166,45,165,0,469375,88875,448368,400359,19255
74,0.0207622,380711,44,44,164,166,45,165,0,473160,92450,462629,411625,23582
75,0.0216789,447865,44,45,163,165,46,162,0,566431,118567,544219,474713,23582
76,0.0225654,457869,45,45,163,165,46,162,0,582253,124385,562279,488346,29288
77,0.0234544,532344,45,46,162,164,47,159,0,694163,161820,667833,565639,29288
78,0.0249674,542557,46,46,162,164,47,159,0,713657,171101,693376,583663,36149
79,0.0256238,630204,46,47,161,163,48,156,0,861232,231029,841934,684401,36149
80,0.0270777,637544,47,47,161,163,48,155,0,877249,239706,862544,697709,44390
81,0.0284736,733765,47,48,160,162,49,152,0,1045495,311731,1019507,796005,44390
82,0.030391,747534,48,48,160,162,49,152,0,1079904,332371,1063304,822042,54823
83,0.0315371,853348,48,49,159,161,50,149,0,1290439,437092,1265710,936110,54823
84,0.0330279,862970,49,49,159,161,50,149,0,1320743,457774,1304474,956709,67457
85,0.0356238,982873,49,50,158,160,51,146,0,1583827,600955,1552290,1081372,67457
86,0.0377805,987796,50,50,158,160,51,146,0,1616650,628855,1599978,1103842,83031
87,0.039485,1072233,50,51,157,159,51,144,0,1832675,760443,1808374,1196925,83031
88,0.0404325,1108753,51,51,157,159,52,143,0,1927599,818847,1897114,1234274,101256
89,0.0433404,1106737,51,51,157,159,52,143,0,1951323,844587,1937029,1250399,101256
90,0.0445962,1203881,51,52,156,158,52,141,0,2248713,1044833,2226048,1361251,101256
91,0.0454719,1228250,52,52,156,158,53,141,0,2314286,1086037,2282559,1381329,121908
92,0.0471292,1227835,52,52,156,158,53,141,0,2342791,1114957,2323629,1395713,121908
93,0.0499268,1276523,52,52,156,158,53,140,0,2537387,1260865,2521417,1461852,121908
94,0.0513918,1350288,52,53,155,157,54,139,0,2782560,1432273,2744288,1530877,121908
95,0.0540156,1346025,53,53,155,157,54,139,0,2828997,1482973,2810825,1550282,147680
96,0.0579686,1426807,53,54,154,156,54,137,0,3219339,1792533,3197057,1654921,147680
97,0.0596144,1467637,54,54,154,156,55,137,0,3369100,1901464,3328084,1687575,177879
98,0.0626447,1457315,54,54,154,156,55,137,0,3408612,1951298,3389918,1702600,177879
