nodes,workers,graph,variant,runs,seconds_median,reductions_median,updates_noted_median,distance_changes_median,rejected_median,tram_bytes_median,tram_messages_median,bucket_scale_median,coarsenings_median,read_seconds_median
1,16,mesh20,control,16,0.35051200000000005,3673.0,5017809.5,1664939.5,3761608.0,120875932.0,29302.0,44.0,2.0,0.0
1,16,mesh20,current,16,0.35144,3545.5,5102074.5,1694615.5,3824960.0,122821716.0,28872.0,44.0,2.0,0.0
1,16,mesh20,old-fixed,16,0.6192385,5507.5,24363513.5,6922490.5,18264754.5,584990700.0,15945.5,1.0,0.0,0.0
1,16,mesh20,open,16,0.4222945,1147.5,25370453.0,7209133.5,19020567.0,609178880.0,18002.0,176.0,4.0,0.0
1,16,mesh20,tuned-fixed,16,0.30623449999999997,3128.0,5675018.0,1849056.0,4254626.5,136530128.0,21529.5,1.0,0.0,0.0
1,16,mesh22,control,16,0.9834745,7917.0,18199708.5,6162939.5,13647340.0,437882060.0,60775.5,24.0,1.0,0.0
1,16,mesh22,current,16,0.948957,7706.0,18130220.5,6135359.0,13595002.5,436203012.0,60973.5,30.0,2.0,0.0
1,16,mesh22,old-fixed,16,1.213047,6070.5,59031908.5,17442042.0,44264110.0,1417286524.0,32546.5,1.0,0.0,0.0
1,16,mesh22,open,16,1.0352505,1397.5,56657002.0,16784968.5,42484325.5,1360273272.0,32249.5,376.0,5.0,0.0
1,16,mesh22,tuned-fixed,16,0.9004095000000001,5852.0,20768990.0,6874556.5,15573996.0,499174848.0,45456.5,1.0,0.0,0.0
1,16,rmat20,control,16,0.2676585,95.0,35021643.0,1904618.5,34372006.5,840796576.0,17343.5,8.0,1.0,0.0
1,16,rmat20,current,16,0.273395,91.5,35209503.0,1933647.0,34560356.0,845306808.0,17422.5,8.0,1.0,0.0
1,16,rmat20,old-fixed,16,0.27805599999999997,292.0,34736027.0,1910834.5,34088286.5,833951672.0,17941.0,1.0,0.0,0.0
1,16,rmat20,open,16,0.283795,49.5,35381789.5,1966337.0,34727698.5,849441612.0,17418.0,11.0,1.0,0.0
1,16,rmat20,tuned-fixed,16,0.275979,54.0,35202447.5,1952100.5,34550544.0,845139748.0,17591.5,1.0,0.0,0.0
1,16,rmat20-s2,control,16,0.2876485,91.0,35632357.0,1898991.5,34983903.5,855458552.0,17669.5,9.0,1.0,0.0
1,16,rmat20-s2,current,16,0.274519,95.0,35388294.0,1897921.5,34739536.0,849600016.0,17561.5,8.0,1.0,0.0
1,16,rmat20-s2,old-fixed,16,0.29941249999999997,308.0,36013563.0,2002674.5,35365754.5,864622672.0,18613.0,1.0,0.0,0.0
1,16,rmat20-s2,open,16,0.2852205,49.5,35590185.0,1873062.5,34935624.5,854444952.0,17533.5,9.0,1.0,0.0
1,16,rmat20-s2,tuned-fixed,16,0.295699,279.5,35594260.0,1922743.0,34946573.5,854586520.0,20478.0,1.0,0.0,0.0
1,16,rmat22,control,16,1.058936,158.5,132522480.0,6432144.0,130120161.5,3181582320.0,65195.5,8.0,1.0,0.0
1,16,rmat22,current,16,1.069161,156.0,131809322.5,6356209.5,129408705.0,3164460108.0,64774.5,7.5,1.0,0.0
1,16,rmat22,old-fixed,16,1.0746455,405.0,132210615.5,6380595.5,129809100.5,3174102068.0,65523.0,1.0,0.0,0.0
1,16,rmat22,open,16,1.068411,85.5,133112032.5,6404078.5,130691434.0,3195732108.0,65209.5,7.5,1.0,0.0
1,16,rmat22,tuned-fixed,16,1.0895945,417.0,132110719.0,6347531.5,129713694.5,3171778008.0,69436.5,1.0,0.0,0.0
1,16,road-ny,control,16,0.18787949999999998,450.5,12208066.0,4704747.0,7807370.5,293259408.0,16523.5,1.0,0.0,0.0
1,16,road-ny,current,16,0.187729,429.0,12260618.5,4750806.0,7810030.5,294521988.0,16269.5,1.0,0.0,0.0
1,16,road-ny,old-fixed,16,0.41459749999999995,3242.5,8703664.5,3330740.0,5558780.5,209007284.0,7178.0,1.0,0.0,0.0
