JobID|JobName|Partition|State|ExitCode|Start|End|ElapsedRaw|AllocCPUS|NNodes|NodeList|AllocTRES
22032511|acic-inputs|cpu|FAILED|1:0|2026-09-13T09:24:50|2026-09-13T09:25:49|59|16|1|cn061|billing=32768,cpu=16,mem=64G,node=1
22032565|acic-inputs|cpu|COMPLETED|0:0|2026-09-13T09:30:50|2026-09-13T09:32:22|92|16|1|cn061|billing=32768,cpu=16,mem=64G,node=1
22032608|acic-tiny1|cpu|COMPLETED|0:0|2026-09-13T09:38:50|2026-09-13T09:39:12|22|128|1|cn021|billing=128000,cpu=128,mem=252317M,node=1
22032609|acic-smoke2|cpu|COMPLETED|0:0|2026-09-13T09:38:50|2026-09-13T09:39:22|32|256|2|cn[023,032]|billing=256000,cpu=256,mem=504634M,node=2
22032651|acic-regression|cpu|COMPLETED|0:0|2026-09-13T09:38:50|2026-09-13T09:39:37|47|16|1|cn093|billing=16384,cpu=16,mem=32G,node=1
22032688|acic-main1|cpu|COMPLETED|0:0|2026-09-13T09:42:50|2026-09-13T10:46:27|3817|128|1|cn056|billing=128000,cpu=128,mem=252317M,node=1
22032689|acic-main2|cpu|FAILED|1:0|2026-09-13T09:42:50|2026-09-13T10:36:55|3245|256|2|cn[057,069]|billing=256000,cpu=256,mem=504634M,node=2
22032690|acic-tiny2|cpu|COMPLETED|0:0|2026-09-13T09:43:50|2026-09-13T09:44:18|28|256|2|cn[020,087]|billing=256000,cpu=256,mem=504634M,node=2
22032718|acic-preprobe|cpu|COMPLETED|0:0|2026-09-13T09:44:51|2026-09-13T09:48:34|223|256|2|cn[082,087]|billing=256000,cpu=256,mem=504634M,node=2
22032758|acic-scale4|cpu|COMPLETED|0:0|2026-09-13T09:48:50|2026-09-13T10:07:35|1125|512|4|cn[039,049,082,087]|billing=512000,cpu=512,mem=1009268M,node=4
22032759|acic-scale8|cpu|COMPLETED|0:0|2026-09-13T10:15:54|2026-09-13T10:30:53|899|1024|8|cn[014,034,039,088,110,114,116,126]|billing=1024000,cpu=1024,mem=2018536M,node=8
22032760|acic-scale16|cpu|COMPLETED|0:0|2026-09-13T10:31:57|2026-09-13T10:46:56|899|2048|16|cn[005,014,020,025,034-035,039,072,088-089,099,110,114,129-130,132]|billing=2048000,cpu=2048,mem=4037072M,node=16
22032761|acic-dense1|cpu|COMPLETED|0:0|2026-09-13T09:56:50|2026-09-13T10:46:39|2989|128|1|cn115|billing=128000,cpu=128,mem=252317M,node=1
22032804|gluon-build|cpu|COMPLETED|0:0|2026-09-13T09:56:50|2026-09-13T09:58:45|115|4|1|cn093|billing=8192,cpu=4,mem=16G,node=1
22032818|acic-confirm2|cpu|COMPLETED|0:0|2026-09-13T09:56:50|2026-09-13T10:00:18|208|256|2|cn[118,122]|billing=256000,cpu=256,mem=504634M,node=2
22032988|gluon-inputs|cpu|COMPLETED|0:0|2026-09-13T10:02:50|2026-09-13T10:03:04|14|4|1|cn001|billing=4096,cpu=4,mem=8G,node=1
22033282|gluon-compare1|cpu|FAILED|1:0|2026-09-13T10:07:53|2026-09-13T10:08:22|29|128|1|cn035|billing=128000,cpu=128,mem=252317M,node=1
22033283|gluon-compare2|cpu|FAILED|1:0|2026-09-13T10:07:53|2026-09-13T10:08:46|53|256|2|cn[039,049]|billing=256000,cpu=256,mem=504634M,node=2
22033411|acic-full1|cpu|FAILED|1:0|2026-09-13T10:16:54|2026-09-13T11:07:21|3027|128|1|cn028|billing=128000,cpu=128,mem=252317M,node=1
22033417|gluon-compare1|cpu|COMPLETED|0:0|2026-09-13T10:16:54|2026-09-13T10:21:55|301|128|1|cn099|billing=128000,cpu=128,mem=252317M,node=1
22033418|gluon-compare2|cpu|FAILED|1:0|2026-09-13T10:31:57|2026-09-13T10:32:56|59|256|2|cn[116,126]|billing=256000,cpu=256,mem=504634M,node=2
22033619|acic-numa|cpu|COMPLETED|0:0|2026-09-13T10:33:56|2026-09-13T10:49:05|909|128|1|cn116|billing=128000,cpu=128,mem=252317M,node=1
22033674|acic-gluon-debug|cpu|CANCELLED by 69797|0:0|2026-09-13T10:43:59|2026-09-13T10:45:22|83|34|2|cn[093-094]|billing=34000,cpu=34,mem=24G,node=2
22033692|acic-mesh-replay|cpu|COMPLETED|0:0|2026-09-13T10:47:12|2026-09-13T10:47:38|26|256|2|cn[056-057]|billing=256000,cpu=256,mem=504634M,node=2
22033720|acic-gluon-debug|cpu|COMPLETED|0:0|2026-09-13T10:47:12|2026-09-13T10:47:22|10|34|2|cn[094,096]|billing=34000,cpu=34,mem=24G,node=2
22033834|acic-gluon2|cpu|COMPLETED|0:0|2026-09-13T10:51:58|2026-09-13T11:19:17|1639|256|2|cn[116,127]|billing=256000,cpu=256,mem=504634M,node=2
22033887|acic-layout-compare|cpu|FAILED|1:0|2026-09-13T11:08:01|2026-09-13T11:11:06|185|128|1|cn028|billing=128000,cpu=128,mem=252317M,node=1
22033982|acic-quiet-compare|cpu|COMPLETED|0:0|2026-09-13T11:04:00|2026-09-13T11:16:43|763|128|1|cn010|billing=128000,cpu=128,mem=252317M,node=1
22034066|acic-full-complete|cpu|COMPLETED|0:0|2026-09-13T11:12:01|2026-09-13T11:36:30|1469|128|1|cn028|billing=128000,cpu=128,mem=252317M,node=1
22034120|acic-layout-complete|cpu-interactive|COMPLETED|0:0|2026-09-13T11:43:30|2026-09-13T11:53:19|589|128|1|cn005|billing=256000,cpu=128,mem=252317M,node=1
