0 GRAPH_MESH 1 0 4 0.999 0.005 | h1=17167108126395823644 h2=6694746719708300840 reachable=10000 distance_sum=273736066
0 GRAPH_RMAT 1 0 4 0.999 0.005 | h1=5437870521625143200 h2=2609462846291473672 reachable=10991 distance_sum=3983925
0 GRAPH_UNIFORM 1 1 4 0.999 0.005 | h1=15882876744078177223 h2=18402007226614724059 reachable=10000 distance_sum=5738841
10000 0 1 0 2 0.999 0.005 | h1=17167108126395823644 h2=6694746719708300840 reachable=10000 distance_sum=273736066
10000 0 1 5050 2 0.999 0.005 | h1=8573773631830941193 h2=15159571032635353230 reachable=10000 distance_sum=136242648
10000 160000 1 1 1 0.500 0.005 | h1=15882876744078177223 h2=18402007226614724059 reachable=10000 distance_sum=5738841
10000 160000 1 1 1 0.999 0.005 | h1=15882876744078177223 h2=18402007226614724059 reachable=10000 distance_sum=5738841
10000 160000 1 1 1 0.999 0.500 | h1=15882876744078177223 h2=18402007226614724059 reachable=10000 distance_sum=5738841
10000 160000 7 4242 1 0.999 0.005 | h1=3824907538046249924 h2=355280404222220293 reachable=10000 distance_sum=6976955
16384 262144 1 0 3 0.999 0.005 | h1=5437870521625143200 h2=2609462846291473672 reachable=10991 distance_sum=3983925
16384 262144 5 9 3 0.999 0.005 | h1=15787627125648820428 h2=8353857740428732917 reachable=10929 distance_sum=7252992
40000 0 3 0 2 0.999 0.005 | h1=17296350468364939590 h2=13263471092182610366 reachable=40000 distance_sum=2026421767
50000 800000 1 1 1 0.999 0.005 | h1=3066618567398327706 h2=2225150718103540130 reachable=50000 distance_sum=30262912
65536 1048576 1 42 3 0.999 0.005 | h1=3201392518530679372 h2=13570144026160962585 reachable=40433 distance_sum=15478539
